"Class"	"Phylum"
"498"	"Thermoanaerobacteria"	"Firmicutes"
"499"	"Gammaproteobacteria"	"Proteobacteria"
"500"	"Desulfitobacteriia"	"Firmicutes"
"501"	"Gammaproteobacteria"	"Proteobacteria"
"502"	"Campylobacteria"	"Campylobacterota"
"503"	"Gammaproteobacteria"	"Proteobacteria"
"504"	"Bacilli"	"Firmicutes"
"505"	"Bacilli"	"Firmicutes"
"506"	"Clostridia"	"Firmicutes"
"507"	"Gammaproteobacteria"	"Proteobacteria"
"508"	"Bacilli"	"Firmicutes"
"509"	"Gammaproteobacteria"	"Proteobacteria"
"510"	"Gammaproteobacteria"	"Proteobacteria"
"511"	"Cyanobacteriia"	"Cyanobacteria"
"512"	"Gammaproteobacteria"	"Proteobacteria"
"513"	"Gammaproteobacteria"	"Proteobacteria"
"514"	"Clostridia"	"Firmicutes"
"515"	"Gammaproteobacteria"	"Proteobacteria"
"516"	"Gammaproteobacteria"	"Proteobacteria"
"517"	"Thermotogae"	"Thermotogota"
"518"	"Gammaproteobacteria"	"Proteobacteria"
"519"	"Verrucomicrobiae"	"Verrucomicrobiota"
"520"	"Spirochaetia"	"Spirochaetota"
"521"	"Alphaproteobacteria"	"Proteobacteria"
"522"	"Gammaproteobacteria"	"Proteobacteria"
"523"	"Gammaproteobacteria"	"Proteobacteria"
"524"	"Bacilli"	"Firmicutes"
"525"	"Alphaproteobacteria"	"Proteobacteria"
"526"	"Gammaproteobacteria"	"Proteobacteria"
"527"	"Gammaproteobacteria"	"Proteobacteria"
"528"	"Bacilli"	"Firmicutes"
"529"	"Gammaproteobacteria"	"Proteobacteria"
"530"	"Alphaproteobacteria"	"Proteobacteria"
"531"	"Verrucomicrobiae"	"Verrucomicrobiota"
"532"	"Bacilli"	"Firmicutes"
"533"	"Natranaerobiia"	"Firmicutes"
"534"	"Cyanobacteriia"	"Cyanobacteria"
"535"	"Gammaproteobacteria"	"Proteobacteria"
"536"	"Bacilli"	"Firmicutes"
"537"	"Gammaproteobacteria"	"Proteobacteria"
"538"	"Gammaproteobacteria"	"Proteobacteria"
"539"	"Elusimicrobia"	"Elusimicrobiota"
"540"	"Clostridia"	"Firmicutes"
"541"	"Gammaproteobacteria"	"Proteobacteria"
"542"	"Verrucomicrobiae"	"Verrucomicrobiota"
"543"	"Campylobacteria"	"Campylobacterota"
"544"	"Alphaproteobacteria"	"Proteobacteria"
"545"	"Clostridia"	"Firmicutes"
"546"	"Alphaproteobacteria"	"Proteobacteria"
"547"	"Clostridia"	"Firmicutes"
"548"	"Desulfobacteria"	"Desulfobacterota"
"549"	"Desulfuromonadia"	"Desulfobacterota"
"550"	"Gammaproteobacteria"	"Proteobacteria"
"551"	"Actinomycetia"	"Actinobacteriota"
"552"	"Alphaproteobacteria"	"Proteobacteria"
"553"	"Chlorobia"	"Bacteroidota"
"554"	"Halanaerobiia"	"Firmicutes"
"555"	"Chlorobia"	"Bacteroidota"
"556"	"Chlorobia"	"Bacteroidota"
"557"	"Bacteroidia"	"Bacteroidota"
"558"	"Gammaproteobacteria"	"Proteobacteria"
"559"	"Chlorobia"	"Bacteroidota"
"560"	"Chlorobia"	"Bacteroidota"
"561"	"Gammaproteobacteria"	"Proteobacteria"
