EC number	Scoring Based on Function
1.3.3.1	1
1.3.3.2	1
1.3.3.3	1
1.3.3.4	1
1.3.3.5	1
1.3.3.6	1
1.3.3.7	1
1.3.3.8	1
1.3.3.9	1
1.3.3.10	1
1.3.3.11	1
1.3.3.12	1
1.3.3.13	1
1.3.3.14	1
1.3.3.15	1
1.3.3.16	1
1.3.4.1	1
1.3.5.1	1
1.3.5.2	1
1.3.5.3	1
1.3.5.B4	1
1.3.5.4	1
1.3.5.5	1
1.3.5.6	1
1.3.7.1	1
1.3.7.2	1
1.3.7.3	1
1.3.7.4	1
1.3.7.5	1
1.3.7.6	1
1.3.7.7	1
1.3.7.8	1
1.3.7.9	1
1.3.7.10	1
1.3.7.11	1
1.3.7.12	1
1.3.7.13	1
1.3.7.14	1
1.3.7.15	1
1.3.8.1	1
1.3.8.2	1
1.3.8.3	1
1.3.8.4	1
1.3.8.5	1
1.3.8.6	1
1.3.8.7	1
1.3.8.8	1
1.3.8.9	1
1.3.8.10	1
1.3.8.11	1
1.3.8.12	1
1.3.8.13	1
1.3.8.14	1
1.3.8.15	1
1.3.8.16	1
1.3.98.1	1
1.3.98.2	1
1.3.98.3	1
1.3.98.4	1
1.3.98.5	1
1.3.98.6	1
1.3.99.1	1
1.3.99.2	1
1.3.99.B2	1
1.3.99.3	1
1.3.99.4	1
1.3.99.5	1
1.3.99.6	1
1.3.99.7	1
1.3.99.8	1
1.3.99.9	1
1.3.99.10	1
1.3.99.11	1
1.3.99.12	1
1.3.99.B12	1
1.3.99.B13	1
1.3.99.13	1
1.3.99.14	1
1.3.99.15	1
1.3.99.B15	1
1.3.99.B16	1
1.3.99.16	1
1.3.99.17	1
1.3.99.18	1
1.3.99.19	1
1.3.99.20	1
1.3.99.21	1
1.3.99.22	1
1.3.99.23	1
1.3.99.24	1
1.3.99.25	1
1.3.99.26	1
1.3.99.27	1
1.3.99.28	1
1.3.99.29	1
1.3.99.30	1
1.3.99.31	1
1.3.99.32	1
1.3.99.33	1
1.3.99.34	1
1.3.99.35	1
1.3.99.36	1
1.3.99.37	1
1.3.99.38	1
1.3.99.39	1
1.3.99.40	1
1.4.1.1	1
1.4.1.2	1
1.4.1.B2	1
1.4.1.3	1
1.4.1.B4	1
1.4.1.4	5
1.4.1.B5	1
1.4.1.5	1
1.4.1.6	1
1.4.1.7	1
1.4.1.8	1
1.4.1.9	5
1.4.1.10	1
1.4.1.11	1
1.4.1.12	1
1.4.1.13	1
1.4.1.14	1
1.4.1.15	1
1.4.1.16	1
1.4.1.17	1
1.4.1.18	1
1.4.1.19	1
1.4.1.20	1
1.4.1.21	1
1.4.1.23	1
1.4.1.24	1
1.4.1.25	1
1.4.1.26	1
1.4.1.27	1
1.4.2.B1	1
1.4.2.1	1
1.4.3.1	1
1.4.3.B1	1
1.4.3.2	1
1.4.3.3	1
1.4.3.4	1
1.4.3.5	1
1.4.3.6	1
1.4.3.7	1
1.4.3.8	1
1.4.3.9	1
1.4.3.10	1
1.4.3.11	1
1.4.3.12	1
1.4.3.13	1
1.4.3.14	1
1.4.3.15	1
1.4.3.16	1
1.4.3.17	1
1.4.3.18	1
1.4.3.19	1
1.4.3.20	1
1.4.3.21	1
1.4.3.22	1
1.4.3.23	1
1.4.3.24	1
1.4.3.25	1
1.4.3.26	1
1.4.4.1	1
1.4.4.2	1
1.4.5.1	1
1.4.7.1	1
1.4.9.1	1
1.4.9.2	1
1.4.98.1	1
1.4.99.1	1
1.4.99.2	5
1.4.99.3	1
1.4.99.B3	1
1.4.99.4	1
1.4.99.B4	1
1.4.99.5	1
1.4.99.6	1
1.5.1.1	1
1.5.1.2	1
1.5.1.3	5
1.5.1.4	1
1.5.1.B5	1
1.5.1.5	0.5
1.5.1.6	1
1.5.1.7	1
1.5.1.8	1
1.5.1.9	1
1.5.1.10	1
1.5.1.11	1
1.5.1.12	1
1.5.1.13	1
1.5.1.14	1
1.5.1.15	1
1.5.1.16	1
1.5.1.17	1
1.5.1.18	1
1.5.1.19	1
1.5.1.20	1
1.5.1.21	1
1.5.1.22	1
1.5.1.23	1
1.5.1.24	1
1.5.1.25	1
1.5.1.26	1
1.5.1.27	1
1.5.1.28	1
1.5.1.29	1
1.5.1.30	1
1.5.1.31	1
1.5.1.32	1
1.5.1.33	1
1.5.1.34	1
1.5.1.35	1
1.5.1.36	1
1.5.1.37	1
1.5.1.38	1
1.5.1.39	1
1.5.1.40	1
1.5.1.41	1
1.5.1.42	1
1.5.1.43	1
1.5.1.44	1
1.5.1.45	1
1.5.1.46	1
1.5.1.47	1
1.5.1.48	1
1.5.1.49	1
1.5.1.50	1
1.5.1.51	1
1.5.1.52	1
1.5.3.1	5
1.5.3.2	1
1.5.3.3	1
1.5.3.4	1
1.5.3.5	1
1.5.3.6	1
1.5.3.7	1
1.5.3.8	1
1.5.3.9	1
1.5.3.10	1
1.5.3.11	1
1.5.3.12	1
1.5.3.13	1
1.5.3.14	1
1.5.3.15	1
1.5.3.16	1
1.5.3.17	1
1.5.3.18	1
1.5.3.19	1
1.5.3.20	1
1.5.3.21	1
1.5.3.22	1
1.5.3.23	1
1.5.4.1	1
1.5.5.1	1
1.5.5.2	1
1.5.5.3	1
1.5.7.1	1
1.5.7.2	1
1.5.8.1	1
1.5.8.2	1
1.5.8.3	1
1.5.8.4	1
1.5.98.1	1
1.5.98.2	1
1.5.98.3	1
1.5.99.1	1
1.5.99.2	1
1.5.99.B2	1
1.5.99.3	1
1.5.99.B4	1
1.5.99.4	1
1.5.99.5	1
1.5.99.6	1
1.5.99.7	1
1.5.99.8	1
1.5.99.9	1
1.5.99.10	1
1.5.99.11	1
1.5.99.12	1
1.5.99.13	1
1.5.99.14	1
1.5.99.15	1
1.6.1.1	1
1.6.1.2	1
1.6.1.3	1
1.6.1.4	1
1.6.1.5	1
1.6.2.1	1
1.6.2.2	1
1.6.2.3	1
1.6.2.4	1
1.6.2.5	1
1.6.2.6	1
1.6.3.1	1
1.6.3.2	1
1.6.3.3	0.5
1.6.3.4	1
1.6.3.5	1
1.6.4.1	1
1.6.4.2	1
1.6.4.3	1
1.6.4.4	1
1.6.4.5	1
1.6.4.6	1
1.6.4.7	1
1.6.4.8	1
1.6.4.9	1
1.6.4.10	1
1.6.5.1	1
1.6.5.2	1
1.6.5.3	1
1.6.5.4	1
1.6.5.5	1
1.6.5.6	1
1.6.5.7	1
1.6.5.8	1
1.6.5.9	1
1.6.5.10	1
1.6.5.11	1
1.6.5.12	1
1.6.6.1	1
1.6.6.2	1
1.6.6.3	1
1.6.6.4	1
1.6.6.5	1
1.6.6.6	1
1.6.6.7	1
1.6.6.8	1
1.6.6.9	1
1.6.6.10	1
1.6.6.11	1
1.6.6.12	1
1.6.6.13	1
1.6.7.1	1
1.6.7.2	1
1.6.8.1	1
1.6.8.2	1
1.6.99.1	1
1.6.99.2	1
1.6.99.3	1
1.6.99.4	1
1.6.99.5	1
1.6.99.6	1
1.6.99.7	1
1.6.99.8	1
1.6.99.9	1
1.6.99.10	1
1.6.99.11	1
1.6.99.12	1
1.6.99.13	1
1.7.1.1	5
1.7.1.B1	1
1.7.1.B2	1
1.7.1.2	1
1.7.1.B3	1
1.7.1.3	1
1.7.1.B4	1
1.7.1.4	1
1.7.1.5	1
1.7.1.6	5
1.7.1.7	1
1.7.1.8	1
1.7.1.9	1
1.7.1.10	1
1.7.1.11	1
1.7.1.12	1
1.7.1.13	1
1.7.1.14	1
1.7.1.15	1
1.7.1.16	1
1.7.1.17	1
1.7.2.1	1
1.7.2.2	1
1.7.2.3	1
1.7.2.4	1
1.7.2.5	1
1.7.2.6	1
1.7.2.7	1
1.7.2.8	1
1.7.3.1	1
1.7.3.2	1
1.7.3.3	1
1.7.3.4	1
1.7.3.5	1
1.7.3.6	1
1.7.5.1	1
1.7.5.2	1
1.7.6.1	1
1.7.7.1	1
1.7.7.2	1
1.7.99.1	1
1.7.99.2	1
1.7.99.3	1
1.7.99.4	1
1.7.99.5	1
1.7.99.6	1
1.7.99.7	1
1.7.99.8	1
1.8.1.1	1
1.8.1.B1	1
1.8.1.2	1
1.8.1.3	1
1.8.1.4	0.5
1.8.1.B4	1
1.8.1.5	1
1.8.1.B5	1
1.8.1.6	1
1.8.1.7	1
1.8.1.8	1
1.8.1.9	0.5
1.8.1.10	1
1.8.1.11	1
1.8.1.12	1
1.8.1.13	1
1.8.1.14	1
1.8.1.15	1
1.8.1.16	1
1.8.1.17	1
1.8.1.18	1
1.8.1.19	1
1.8.1.20	1
1.8.1.21	1
1.8.2.1	1
1.8.2.2	1
1.8.2.3	1
1.8.2.4	1
1.8.2.5	1
1.8.2.6	1
1.8.2.7	1
1.8.3.1	1
1.8.3.B2	1
1.8.3.2	1
1.8.3.3	1
1.8.3.4	1
1.8.3.5	1
1.8.3.6	1
1.8.3.7	1
1.8.4.1	1
1.8.4.2	1
1.8.4.3	1
1.8.4.B3	1
1.8.4.4	1
1.8.4.5	1
1.8.4.6	1
1.8.4.7	1
1.8.4.8	1
1.8.4.9	1
1.8.4.10	1
1.8.4.11	0.5
1.8.4.12	0.5
1.8.4.13	1
1.8.4.14	1
1.8.4.15	1
1.8.4.16	1
1.8.5.1	1
1.8.5.B1	1
1.8.5.2	1
1.8.5.3	1
1.8.5.4	1
1.8.5.5	1
1.8.5.6	1
1.8.5.7	1
1.8.5.8	1
1.8.5.9	1
1.8.6.1	1
1.8.7.1	1
1.8.7.2	1
1.8.7.3	1
1.8.98.1	1
1.8.98.2	1
1.8.98.3	1
1.8.98.4	1
1.8.98.5	1
1.8.98.6	1
1.8.98.7	1
1.8.99.B1	1
1.8.99.1	1
1.8.99.2	1
1.8.99.B2	1
1.8.99.3	1
1.8.99.4	1
1.8.99.5	1
1.9.3.1	1
1.9.3.2	1
1.9.6.1	1
1.9.98.1	1
1.9.99.1	1
1.10.1.1	1
1.10.2.1	1
1.10.2.2	1
1.10.3.1	1
1.10.3.2	5
1.10.3.3	1
1.10.3.4	1
1.10.3.5	1
1.10.3.6	1
1.10.3.7	1
1.10.3.8	1
1.10.3.9	1
1.10.3.10	1
1.10.3.11	1
1.10.3.12	1
1.10.3.13	1
1.10.3.14	1
1.10.3.15	1
1.10.3.16	1
1.10.3.17	1
